"ocid","release_id","id","awardID","title","description","status","contractPeriod_startDate","contractPeriod_endDate","contractPeriod_maxExtentDate","contractPeriod_durationInDays","amount","currency","dateSigned"
"ocds-5wno2w-CE-20230002324722-232298","CE-20230002324722-232298-2023-02-11T04:05:04.898Z","CE-20230002324722-contract","CE-20230002324722","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002324744-232298","CE-20230002324744-232298-2023-02-11T04:05:07.201Z","CE-20230002324744-contract","CE-20230002324744","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002324745-232298","CE-20230002324745-232298-2023-02-11T04:05:07.213Z","CE-20230002324745-contract","CE-20230002324745","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002324746-232298","CE-20230002324746-232298-2023-02-11T04:05:07.226Z","CE-20230002324746-contract","CE-20230002324746","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002324747-232298","CE-20230002324747-232298-2023-02-11T04:05:07.238Z","CE-20230002324747-contract","CE-20230002324747","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002324748-232298","CE-20230002324748-232298-2023-02-11T04:05:07.250Z","CE-20230002324748-contract","CE-20230002324748","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002324749-232298","CE-20230002324749-232298-2023-02-11T04:05:07.267Z","CE-20230002324749-contract","CE-20230002324749","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002331333-246576","CE-20230002331333-246576-2023-02-11T04:13:03.461Z","CE-20230002331333-contract","CE-20230002331333","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002331885-316213","CE-20230002331885-316213-2023-02-11T04:13:29.877Z","CE-20230002331885-contract","CE-20230002331885","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002331901-3310","CE-20230002331901-3310-2023-02-11T04:13:30.958Z","CE-20230002331901-contract","CE-20230002331901","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002331906-2332","CE-20230002331906-2332-2023-02-11T04:13:30.971Z","CE-20230002331906-contract","CE-20230002331906","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002331985-41046","CE-20230002331985-41046-2023-02-11T04:13:31.343Z","CE-20230002331985-contract","CE-20230002331985","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002332013-586189","CE-20230002332013-586189-2023-02-11T04:13:34.996Z","CE-20230002332013-contract","CE-20230002332013","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002332047-54651","CE-20230002332047-54651-2023-02-11T04:13:36.244Z","CE-20230002332047-contract","CE-20230002332047","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002332048-520437","CE-20230002332048-520437-2023-02-11T04:13:36.264Z","CE-20230002332048-contract","CE-20230002332048","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002332144-324040","CE-20230002332144-324040-2023-02-11T04:13:39.793Z","CE-20230002332144-contract","CE-20230002332144","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002332154-9676","CE-20230002332154-9676-2023-02-11T04:13:41.373Z","CE-20230002332154-contract","CE-20230002332154","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002332250-392509","CE-20230002332250-392509-2023-02-11T04:13:58.139Z","CE-20230002332250-contract","CE-20230002332250","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002332465-120171","CE-20230002332465-120171-2023-02-11T04:14:13.347Z","CE-20230002332465-contract","CE-20230002332465","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002332718-127033","CE-20230002332718-127033-2023-02-11T04:14:40.249Z","CE-20230002332718-contract","CE-20230002332718","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002332746-533836","CE-20230002332746-533836-2023-02-11T04:14:40.289Z","CE-20230002332746-contract","CE-20230002332746","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333071-390394","CE-20230002333071-390394-2023-02-11T04:15:02.459Z","CE-20230002333071-contract","CE-20230002333071","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333072-390394","CE-20230002333072-390394-2023-02-11T04:15:02.487Z","CE-20230002333072-contract","CE-20230002333072","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333073-390394","CE-20230002333073-390394-2023-02-11T04:15:02.506Z","CE-20230002333073-contract","CE-20230002333073","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333074-390394","CE-20230002333074-390394-2023-02-11T04:15:02.534Z","CE-20230002333074-contract","CE-20230002333074","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333075-390394","CE-20230002333075-390394-2023-02-11T04:15:02.559Z","CE-20230002333075-contract","CE-20230002333075","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333092-51561","CE-20230002333092-51561-2023-02-11T04:15:02.583Z","CE-20230002333092-contract","CE-20230002333092","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333093-51561","CE-20230002333093-51561-2023-02-11T04:15:02.609Z","CE-20230002333093-contract","CE-20230002333093","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333094-51561","CE-20230002333094-51561-2023-02-11T04:15:02.624Z","CE-20230002333094-contract","CE-20230002333094","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333095-51561","CE-20230002333095-51561-2023-02-11T04:15:02.639Z","CE-20230002333095-contract","CE-20230002333095","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333096-51561","CE-20230002333096-51561-2023-02-11T04:15:02.657Z","CE-20230002333096-contract","CE-20230002333096","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333097-51561","CE-20230002333097-51561-2023-02-11T04:15:02.668Z","CE-20230002333097-contract","CE-20230002333097","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333098-51561","CE-20230002333098-51561-2023-02-11T04:15:02.681Z","CE-20230002333098-contract","CE-20230002333098","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333099-51561","CE-20230002333099-51561-2023-02-11T04:15:02.698Z","CE-20230002333099-contract","CE-20230002333099","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333173-782624","CE-20230002333173-782624-2023-02-11T04:15:02.717Z","CE-20230002333173-contract","CE-20230002333173","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333174-782624","CE-20230002333174-782624-2023-02-11T04:15:02.742Z","CE-20230002333174-contract","CE-20230002333174","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333175-782624","CE-20230002333175-782624-2023-02-11T04:15:02.754Z","CE-20230002333175-contract","CE-20230002333175","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333176-782624","CE-20230002333176-782624-2023-02-11T04:15:02.771Z","CE-20230002333176-contract","CE-20230002333176","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333177-782624","CE-20230002333177-782624-2023-02-11T04:15:02.789Z","CE-20230002333177-contract","CE-20230002333177","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333178-182271","CE-20230002333178-182271-2023-02-11T04:15:02.810Z","CE-20230002333178-contract","CE-20230002333178","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333179-390394","CE-20230002333179-390394-2023-02-11T04:15:02.837Z","CE-20230002333179-contract","CE-20230002333179","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333180-390394","CE-20230002333180-390394-2023-02-11T04:15:02.859Z","CE-20230002333180-contract","CE-20230002333180","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333181-390394","CE-20230002333181-390394-2023-02-11T04:15:02.878Z","CE-20230002333181-contract","CE-20230002333181","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333182-390394","CE-20230002333182-390394-2023-02-11T04:15:02.903Z","CE-20230002333182-contract","CE-20230002333182","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333183-390394","CE-20230002333183-390394-2023-02-11T04:15:02.922Z","CE-20230002333183-contract","CE-20230002333183","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333185-2449","CE-20230002333185-2449-2023-02-11T04:15:02.935Z","CE-20230002333185-contract","CE-20230002333185","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333254-2449","CE-20230002333254-2449-2023-02-11T04:15:02.958Z","CE-20230002333254-contract","CE-20230002333254","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333271-2449","CE-20230002333271-2449-2023-02-11T04:15:02.976Z","CE-20230002333271-contract","CE-20230002333271","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333273-165112","CE-20230002333273-165112-2023-02-11T04:15:02.988Z","CE-20230002333273-contract","CE-20230002333273","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333274-165112","CE-20230002333274-165112-2023-02-11T04:15:03.012Z","CE-20230002333274-contract","CE-20230002333274","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333275-165112","CE-20230002333275-165112-2023-02-11T04:15:03.034Z","CE-20230002333275-contract","CE-20230002333275","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333276-165112","CE-20230002333276-165112-2023-02-11T04:15:03.048Z","CE-20230002333276-contract","CE-20230002333276","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333277-165112","CE-20230002333277-165112-2023-02-11T04:15:03.064Z","CE-20230002333277-contract","CE-20230002333277","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333278-165112","CE-20230002333278-165112-2023-02-11T04:15:03.083Z","CE-20230002333278-contract","CE-20230002333278","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333279-165112","CE-20230002333279-165112-2023-02-11T04:15:03.098Z","CE-20230002333279-contract","CE-20230002333279","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333280-165112","CE-20230002333280-165112-2023-02-11T04:15:03.112Z","CE-20230002333280-contract","CE-20230002333280","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333281-165112","CE-20230002333281-165112-2023-02-11T04:15:03.125Z","CE-20230002333281-contract","CE-20230002333281","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333282-165112","CE-20230002333282-165112-2023-02-11T04:15:03.142Z","CE-20230002333282-contract","CE-20230002333282","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333283-165112","CE-20230002333283-165112-2023-02-11T04:15:03.159Z","CE-20230002333283-contract","CE-20230002333283","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333284-165112","CE-20230002333284-165112-2023-02-11T04:15:03.177Z","CE-20230002333284-contract","CE-20230002333284","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333285-165112","CE-20230002333285-165112-2023-02-11T04:15:03.187Z","CE-20230002333285-contract","CE-20230002333285","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333286-165112","CE-20230002333286-165112-2023-02-11T04:15:03.203Z","CE-20230002333286-contract","CE-20230002333286","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333287-165112","CE-20230002333287-165112-2023-02-11T04:15:03.220Z","CE-20230002333287-contract","CE-20230002333287","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333288-165112","CE-20230002333288-165112-2023-02-11T04:15:03.235Z","CE-20230002333288-contract","CE-20230002333288","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333289-165112","CE-20230002333289-165112-2023-02-11T04:15:03.255Z","CE-20230002333289-contract","CE-20230002333289","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333290-165112","CE-20230002333290-165112-2023-02-11T04:15:03.270Z","CE-20230002333290-contract","CE-20230002333290","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333291-165112","CE-20230002333291-165112-2023-02-11T04:15:03.286Z","CE-20230002333291-contract","CE-20230002333291","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333292-165112","CE-20230002333292-165112-2023-02-11T04:15:03.305Z","CE-20230002333292-contract","CE-20230002333292","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333293-165112","CE-20230002333293-165112-2023-02-11T04:15:03.318Z","CE-20230002333293-contract","CE-20230002333293","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333294-165112","CE-20230002333294-165112-2023-02-11T04:15:03.333Z","CE-20230002333294-contract","CE-20230002333294","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333295-165112","CE-20230002333295-165112-2023-02-11T04:15:03.347Z","CE-20230002333295-contract","CE-20230002333295","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333296-165112","CE-20230002333296-165112-2023-02-11T04:15:03.362Z","CE-20230002333296-contract","CE-20230002333296","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333297-165112","CE-20230002333297-165112-2023-02-11T04:15:03.378Z","CE-20230002333297-contract","CE-20230002333297","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333298-165112","CE-20230002333298-165112-2023-02-11T04:15:03.394Z","CE-20230002333298-contract","CE-20230002333298","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333299-165112","CE-20230002333299-165112-2023-02-11T04:15:03.411Z","CE-20230002333299-contract","CE-20230002333299","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333300-165112","CE-20230002333300-165112-2023-02-11T04:15:03.430Z","CE-20230002333300-contract","CE-20230002333300","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333301-165112","CE-20230002333301-165112-2023-02-11T04:15:03.447Z","CE-20230002333301-contract","CE-20230002333301","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333302-165112","CE-20230002333302-165112-2023-02-11T04:15:03.465Z","CE-20230002333302-contract","CE-20230002333302","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333303-165112","CE-20230002333303-165112-2023-02-11T04:15:03.480Z","CE-20230002333303-contract","CE-20230002333303","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333304-165112","CE-20230002333304-165112-2023-02-11T04:15:03.497Z","CE-20230002333304-contract","CE-20230002333304","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333305-165112","CE-20230002333305-165112-2023-02-11T04:15:03.511Z","CE-20230002333305-contract","CE-20230002333305","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333306-165112","CE-20230002333306-165112-2023-02-11T04:15:03.529Z","CE-20230002333306-contract","CE-20230002333306","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333307-165112","CE-20230002333307-165112-2023-02-11T04:15:03.546Z","CE-20230002333307-contract","CE-20230002333307","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333308-165112","CE-20230002333308-165112-2023-02-11T04:15:03.560Z","CE-20230002333308-contract","CE-20230002333308","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333309-165112","CE-20230002333309-165112-2023-02-11T04:15:03.578Z","CE-20230002333309-contract","CE-20230002333309","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333310-165112","CE-20230002333310-165112-2023-02-11T04:15:03.594Z","CE-20230002333310-contract","CE-20230002333310","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333311-165112","CE-20230002333311-165112-2023-02-11T04:15:03.611Z","CE-20230002333311-contract","CE-20230002333311","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333312-165112","CE-20230002333312-165112-2023-02-11T04:15:03.628Z","CE-20230002333312-contract","CE-20230002333312","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333313-165112","CE-20230002333313-165112-2023-02-11T04:15:03.641Z","CE-20230002333313-contract","CE-20230002333313","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333314-165112","CE-20230002333314-165112-2023-02-11T04:15:03.655Z","CE-20230002333314-contract","CE-20230002333314","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333315-165112","CE-20230002333315-165112-2023-02-11T04:15:03.673Z","CE-20230002333315-contract","CE-20230002333315","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333316-165112","CE-20230002333316-165112-2023-02-11T04:15:03.693Z","CE-20230002333316-contract","CE-20230002333316","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333317-165112","CE-20230002333317-165112-2023-02-11T04:15:03.711Z","CE-20230002333317-contract","CE-20230002333317","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333318-165112","CE-20230002333318-165112-2023-02-11T04:15:03.731Z","CE-20230002333318-contract","CE-20230002333318","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333319-165112","CE-20230002333319-165112-2023-02-11T04:15:03.742Z","CE-20230002333319-contract","CE-20230002333319","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333320-165112","CE-20230002333320-165112-2023-02-11T04:15:03.755Z","CE-20230002333320-contract","CE-20230002333320","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333321-165112","CE-20230002333321-165112-2023-02-11T04:15:03.769Z","CE-20230002333321-contract","CE-20230002333321","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333323-385338","CE-20230002333323-385338-2023-02-11T04:15:03.783Z","CE-20230002333323-contract","CE-20230002333323","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333324-9220","CE-20230002333324-9220-2023-02-11T04:15:03.800Z","CE-20230002333324-contract","CE-20230002333324","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333368-2449","CE-20230002333368-2449-2023-02-11T04:15:03.819Z","CE-20230002333368-contract","CE-20230002333368","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333369-390394","CE-20230002333369-390394-2023-02-11T04:15:03.833Z","CE-20230002333369-contract","CE-20230002333369","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333370-390394","CE-20230002333370-390394-2023-02-11T04:15:03.853Z","CE-20230002333370-contract","CE-20230002333370","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333371-390394","CE-20230002333371-390394-2023-02-11T04:15:03.873Z","CE-20230002333371-contract","CE-20230002333371","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333372-390394","CE-20230002333372-390394-2023-02-11T04:15:03.894Z","CE-20230002333372-contract","CE-20230002333372","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333373-390394","CE-20230002333373-390394-2023-02-11T04:15:03.914Z","CE-20230002333373-contract","CE-20230002333373","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333374-390394","CE-20230002333374-390394-2023-02-11T04:15:03.930Z","CE-20230002333374-contract","CE-20230002333374","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333375-390394","CE-20230002333375-390394-2023-02-11T04:15:03.953Z","CE-20230002333375-contract","CE-20230002333375","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333376-390394","CE-20230002333376-390394-2023-02-11T04:15:03.975Z","CE-20230002333376-contract","CE-20230002333376","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333377-390394","CE-20230002333377-390394-2023-02-11T04:15:03.996Z","CE-20230002333377-contract","CE-20230002333377","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333378-390394","CE-20230002333378-390394-2023-02-11T04:15:04.011Z","CE-20230002333378-contract","CE-20230002333378","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333379-390394","CE-20230002333379-390394-2023-02-11T04:15:04.029Z","CE-20230002333379-contract","CE-20230002333379","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333380-390394","CE-20230002333380-390394-2023-02-11T04:15:04.046Z","CE-20230002333380-contract","CE-20230002333380","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333381-390394","CE-20230002333381-390394-2023-02-11T04:15:04.066Z","CE-20230002333381-contract","CE-20230002333381","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333382-390394","CE-20230002333382-390394-2023-02-11T04:15:04.083Z","CE-20230002333382-contract","CE-20230002333382","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333383-390394","CE-20230002333383-390394-2023-02-11T04:15:04.101Z","CE-20230002333383-contract","CE-20230002333383","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333384-390394","CE-20230002333384-390394-2023-02-11T04:15:04.121Z","CE-20230002333384-contract","CE-20230002333384","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333385-390394","CE-20230002333385-390394-2023-02-11T04:15:05.586Z","CE-20230002333385-contract","CE-20230002333385","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333386-2449","CE-20230002333386-2449-2023-02-11T04:15:05.601Z","CE-20230002333386-contract","CE-20230002333386","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333396-72588","CE-20230002333396-72588-2023-02-11T04:15:05.614Z","CE-20230002333396-contract","CE-20230002333396","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333397-72588","CE-20230002333397-72588-2023-02-11T04:15:05.631Z","CE-20230002333397-contract","CE-20230002333397","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333398-72588","CE-20230002333398-72588-2023-02-11T04:15:05.643Z","CE-20230002333398-contract","CE-20230002333398","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333399-72588","CE-20230002333399-72588-2023-02-11T04:15:05.652Z","CE-20230002333399-contract","CE-20230002333399","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333400-72588","CE-20230002333400-72588-2023-02-11T04:15:05.663Z","CE-20230002333400-contract","CE-20230002333400","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333402-782624","CE-20230002333402-782624-2023-02-11T04:15:05.670Z","CE-20230002333402-contract","CE-20230002333402","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333403-782624","CE-20230002333403-782624-2023-02-11T04:15:05.686Z","CE-20230002333403-contract","CE-20230002333403","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333404-782624","CE-20230002333404-782624-2023-02-11T04:15:05.695Z","CE-20230002333404-contract","CE-20230002333404","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333405-782624","CE-20230002333405-782624-2023-02-11T04:15:05.704Z","CE-20230002333405-contract","CE-20230002333405","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333406-782624","CE-20230002333406-782624-2023-02-11T04:15:05.713Z","CE-20230002333406-contract","CE-20230002333406","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333407-2449","CE-20230002333407-2449-2023-02-11T04:15:05.718Z","CE-20230002333407-contract","CE-20230002333407","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333408-101487","CE-20230002333408-101487-2023-02-11T04:15:05.727Z","CE-20230002333408-contract","CE-20230002333408","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333451-520285","CE-20230002333451-520285-2023-02-11T04:15:05.739Z","CE-20230002333451-contract","CE-20230002333451","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333452-20852","CE-20230002333452-20852-2023-02-11T04:15:05.750Z","CE-20230002333452-contract","CE-20230002333452","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333453-39594","CE-20230002333453-39594-2023-02-11T04:15:05.763Z","CE-20230002333453-contract","CE-20230002333453","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333454-782624","CE-20230002333454-782624-2023-02-11T04:15:05.778Z","CE-20230002333454-contract","CE-20230002333454","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333455-782624","CE-20230002333455-782624-2023-02-11T04:15:05.785Z","CE-20230002333455-contract","CE-20230002333455","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333456-782624","CE-20230002333456-782624-2023-02-11T04:15:05.794Z","CE-20230002333456-contract","CE-20230002333456","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333457-782624","CE-20230002333457-782624-2023-02-11T04:15:05.803Z","CE-20230002333457-contract","CE-20230002333457","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333458-782624","CE-20230002333458-782624-2023-02-11T04:15:05.814Z","CE-20230002333458-contract","CE-20230002333458","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333469-20973","CE-20230002333469-20973-2023-02-11T04:15:05.820Z","CE-20230002333469-contract","CE-20230002333469","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333470-20973","CE-20230002333470-20973-2023-02-11T04:15:05.834Z","CE-20230002333470-contract","CE-20230002333470","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333471-20973","CE-20230002333471-20973-2023-02-11T04:15:05.843Z","CE-20230002333471-contract","CE-20230002333471","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333472-2804","CE-20230002333472-2804-2023-02-11T04:15:05.853Z","CE-20230002333472-contract","CE-20230002333472","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333473-2804","CE-20230002333473-2804-2023-02-11T04:15:05.866Z","CE-20230002333473-contract","CE-20230002333473","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333474-2804","CE-20230002333474-2804-2023-02-11T04:15:05.877Z","CE-20230002333474-contract","CE-20230002333474","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333475-2804","CE-20230002333475-2804-2023-02-11T04:15:05.889Z","CE-20230002333475-contract","CE-20230002333475","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333476-2804","CE-20230002333476-2804-2023-02-11T04:15:05.900Z","CE-20230002333476-contract","CE-20230002333476","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333477-2804","CE-20230002333477-2804-2023-02-11T04:15:05.914Z","CE-20230002333477-contract","CE-20230002333477","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333478-2804","CE-20230002333478-2804-2023-02-11T04:15:05.922Z","CE-20230002333478-contract","CE-20230002333478","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333479-2804","CE-20230002333479-2804-2023-02-11T04:15:05.932Z","CE-20230002333479-contract","CE-20230002333479","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333480-2804","CE-20230002333480-2804-2023-02-11T04:15:05.942Z","CE-20230002333480-contract","CE-20230002333480","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002334207-130055","CE-20230002334207-130055-2023-02-14T04:15:51.440Z","CE-20230002334207-contract","CE-20230002334207","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333481-2804","CE-20230002333481-2804-2023-02-11T04:15:05.948Z","CE-20230002333481-contract","CE-20230002333481","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333494-39594","CE-20230002333494-39594-2023-02-11T04:15:05.957Z","CE-20230002333494-contract","CE-20230002333494","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333495-20973","CE-20230002333495-20973-2023-02-11T04:15:05.967Z","CE-20230002333495-contract","CE-20230002333495","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333496-20973","CE-20230002333496-20973-2023-02-11T04:15:05.977Z","CE-20230002333496-contract","CE-20230002333496","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333546-782624","CE-20230002333546-782624-2023-02-11T04:15:05.987Z","CE-20230002333546-contract","CE-20230002333546","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333547-782624","CE-20230002333547-782624-2023-02-11T04:15:05.996Z","CE-20230002333547-contract","CE-20230002333547","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333548-782624","CE-20230002333548-782624-2023-02-11T04:15:06.002Z","CE-20230002333548-contract","CE-20230002333548","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333549-782624","CE-20230002333549-782624-2023-02-11T04:15:06.010Z","CE-20230002333549-contract","CE-20230002333549","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333550-782624","CE-20230002333550-782624-2023-02-11T04:15:06.022Z","CE-20230002333550-contract","CE-20230002333550","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333551-120057","CE-20230002333551-120057-2023-02-11T04:15:06.028Z","CE-20230002333551-contract","CE-20230002333551","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333552-20973","CE-20230002333552-20973-2023-02-11T04:15:06.042Z","CE-20230002333552-contract","CE-20230002333552","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002333553-20973","CE-20230002333553-20973-2023-02-11T04:15:06.047Z","CE-20230002333553-contract","CE-20230002333553","","","active","","","","","","",""
