"ocid","release_id","id","title","description","status","date","amount","currency","correctedValue_amount","correctedValue_currency","enteredValue_amount","enteredValue_currency","contractPeriod_startDate","contractPeriod_endDate","contractPeriod_maxExtentDate","contractPeriod_durationInDays"
"ocds-5wno2w-MCO-GADPRSR-003-2023-172532","MCO-GADPRSR-003-2023-172532-2023-02-24T10:51:44.520Z-compiled","6197958-MCO-GADPRSR-003-2023","","Proveedor ganador en el Sorteo MC-Obras con estos productos","","","99999.99","USD","","","","","","","",""
"ocds-5wno2w-RE-CEP-IGM-001-2023-36136","RE-CEP-IGM-001-2023-36136-2023-02-01T10:32:22.619Z-compiled","6193962-RE-CEP-IGM-001-2023","","POR CUMPLIR CON LAS CONDICIONES TECNICAS ECONOMICAS Y LEGALES","","2023-01-24T17:01:05-05:00","431945.29","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321047-409148","CE-20230002321047-409148-2023-02-02T04:01:29.865Z","CE-20230002321047","","","active","","3.24","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321584-115601","CE-20230002321584-115601-2023-02-02T04:01:54.624Z","CE-20230002321584","","","active","","5.94","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321585-115601","CE-20230002321585-115601-2023-02-02T04:01:54.662Z","CE-20230002321585","","","active","","42.34","USD","","","","","","","",""
"ocds-5wno2w-RE-CBCT-01-2023-99184","RE-CBCT-01-2023-99184-2023-02-16T10:32:38.532Z-compiled","6197800-RE-CBCT-01-2023","","Por ser idónea y cumplir con todos los requisitos establecidos en los pliegos, cuya propuesta es conveniente para los intereses nacionales e institucionales","","2023-02-15T11:54:22-05:00","21732.50","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321586-115601","CE-20230002321586-115601-2023-02-02T04:01:54.681Z","CE-20230002321586","","","active","","0.85","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321587-115601","CE-20230002321587-115601-2023-02-02T04:01:54.702Z","CE-20230002321587","","","active","","4.03","USD","","","","","","","",""
"ocds-5wno2w-RE-HGA-001-2023-2764","RE-HGA-001-2023-2764-2023-02-08T10:36:59.733Z-compiled","6197550-RE-HGA-001-2023","","POR CUMPLIR CON TODAS LAS ESPECIFICACIONES TECNICAS SOLICITADAS EN EL PLIEGO","","2023-02-07T15:08:26-05:00","206546.33","USD","","","","","","","",""
"ocds-5wno2w-RE-DPEO-001-2023-105149","RE-DPEO-001-2023-105149-2023-02-12T10:42:23.239Z-compiled","6196692-RE-DPEO-001-2023","","SE ADJUDICA AL PROVEEDOR CORPORACIÓN NACIONAL DE TELECOMUNICACIONES POR CUMPLIR CON LO SOLICITADO POR LA ENTIDAD","","2023-01-31T19:48:01-05:00","5346.00","USD","","","","","","","",""
"ocds-5wno2w-RE-OACL-GADMM-1-2023-100467","RE-OACL-GADMM-1-2023-100467-2023-02-14T10:32:17.628Z-compiled","6194307-RE-OACL-GADMM-1-2023","","Adjudicación de contrato","","2023-01-31T12:17:12-05:00","16964.00","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321588-115601","CE-20230002321588-115601-2023-02-02T04:01:54.722Z","CE-20230002321588","","","active","","1.40","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321589-115601","CE-20230002321589-115601-2023-02-02T04:01:54.742Z","CE-20230002321589","","","active","","1.92","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321590-115601","CE-20230002321590-115601-2023-02-02T04:01:54.762Z","CE-20230002321590","","","active","","3.09","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321591-115601","CE-20230002321591-115601-2023-02-02T04:01:54.788Z","CE-20230002321591","","","active","","1.68","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-EPMTP-001-2023-1032968","RE-PU-EPMTP-001-2023-1032968-2023-02-09T10:37:49.141Z-compiled","6194805-RE-PU-EPMTP-001-2023","","Por cumplir con lo requerido en el pliego","","2023-01-31T13:59:17-05:00","66.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-HAIAM-01-2023-67972","RE-PU-HAIAM-01-2023-67972-2023-02-24T10:51:35.983Z-compiled","6197742-RE-PU-HAIAM-01-2023","","CONFORME RESOLUCION DE ADJUDICACIÓN N MSP-CZ9-HAIAM-DIR-2023-0005-R","","2023-02-10T11:59:59-05:00","500.00","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321592-115601","CE-20230002321592-115601-2023-02-02T04:01:54.804Z","CE-20230002321592","","","active","","30.69","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321593-115601","CE-20230002321593-115601-2023-02-02T04:01:54.822Z","CE-20230002321593","","","active","","3.92","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322427-87397","CE-20230002322427-87397-2023-02-02T04:02:25.980Z","CE-20230002322427","","","active","","6.72","USD","","","","","","","",""
"ocds-5wno2w-SIE-03D03-004-2023-8574","SIE-03D03-004-2023-8574-2023-02-23T10:50:39.864Z-compiled","2080667-SIE-03D03-004-2023","","POR CUMPLIR CON LO REQUERIDO EN EL PLIEGO Y SER GANADORA DE LA PUJA","","2023-02-22T16:51:16-05:00","5300.00","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321594-115601","CE-20230002321594-115601-2023-02-02T04:01:54.839Z","CE-20230002321594","","","active","","1.34","USD","","","","","","","",""
"ocds-5wno2w-SIE-GADMA-001-2023-2741","SIE-GADMA-001-2023-2741-2023-02-17T10:46:27.174Z-compiled","2080733-SIE-GADMA-001-2023","","CUMPLE CON LOS PARÁMETROS SOLICITADOS POR LA ENTIDAD CONFORME A LA NORMATIVA VIGENTE","","2023-02-16T15:35:20-05:00","47165.30","USD","","","","","","","",""
"ocds-5wno2w-SIE-EPMAPAT-001-2023-297776","SIE-EPMAPAT-001-2023-297776-2023-03-01T11:24:57.567Z-compiled","2080825-SIE-EPMAPAT-001-2023","","GANADOR EN LA PUJA","","2023-02-28T08:18:15-05:00","8910.00","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321596-115601","CE-20230002321596-115601-2023-02-02T04:01:55.050Z","CE-20230002321596","","","active","","12.38","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321597-115601","CE-20230002321597-115601-2023-02-02T04:01:55.068Z","CE-20230002321597","","","active","","4.39","USD","","","","","","","",""
"ocds-5wno2w-SIE-GADPRACH-03-2023-134382","SIE-GADPRACH-03-2023-134382-2023-02-18T10:52:51.913Z-compiled","2080075-SIE-GADPRACH-03-2023","","Por cumplir con todas las características establecidas por la entidad.","","2023-02-17T10:16:01-05:00","13499.99","USD","","","","","","","",""
"ocds-5wno2w-SIE-JZPMG-2023-01-84471","SIE-JZPMG-2023-01-84471-2023-02-28T10:45:40.776Z-compiled","2081044-SIE-JZPMG-2023-01","","POR CUMPLIR CON LO SOLICITADO","","2023-02-27T08:31:07-05:00","177590.80","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321598-115601","CE-20230002321598-115601-2023-02-02T04:01:55.082Z","CE-20230002321598","","","active","","5.28","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321599-115601","CE-20230002321599-115601-2023-02-02T04:01:55.097Z","CE-20230002321599","","","active","","4.14","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321600-115601","CE-20230002321600-115601-2023-02-02T04:01:55.118Z","CE-20230002321600","","","active","","49.49","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321601-115601","CE-20230002321601-115601-2023-02-02T04:01:55.145Z","CE-20230002321601","","","active","","0.80","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321602-115601","CE-20230002321602-115601-2023-02-02T04:01:55.162Z","CE-20230002321602","","","active","","4.13","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321603-115601","CE-20230002321603-115601-2023-02-02T04:01:55.178Z","CE-20230002321603","","","active","","1.83","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321604-115601","CE-20230002321604-115601-2023-02-02T04:01:55.201Z","CE-20230002321604","","","active","","29.28","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321605-115601","CE-20230002321605-115601-2023-02-02T04:01:55.224Z","CE-20230002321605","","","active","","29.28","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321606-115601","CE-20230002321606-115601-2023-02-02T04:01:55.239Z","CE-20230002321606","","","active","","29.28","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002321607-115601","CE-20230002321607-115601-2023-02-02T04:01:55.255Z","CE-20230002321607","","","active","","29.28","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322415-87397","CE-20230002322415-87397-2023-02-02T04:02:25.757Z","CE-20230002322415","","","active","","34.94","USD","","","","","","","",""
